"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Poa_ott985636",267,27,533,479,787,0,5
"Polygonum_ott43733",39,0,219,190,82,0,4
"Populus_ott530178",91,127,67,113,1020,9,22
"Portulaca_ott63152",139,9,170,149,26,0,0
"Potamogeton_ott1048840",581,2,341,251,443,0,2
"Potentilleae_ott891491_MRCA_of_taxa_in_Potentilla_ott187939",320,31,424,283,634,0,0
"Prunella_?genus_in_kingdom_Archaeplastida?_ott314693",1,17,57,29,15,13,75
"Puccinellia_ott591700",83,4,126,105,84,0,0
"MRCA_of_taxa_in_Ranunculus_ott387812",22,14,775,666,1057,0,1
"Rhizophora_ott81498",10,6,66,60,81,0,0
"Rhynchospora_ott267277",69,0,85,77,130,0,0
"Rumex_ott904386",36,12,136,63,79,0,0
"Sagina_ott459770",11,0,39,12,10,0,0
"Salix_?genus_in_kingdom_Archaeplastida?_ott458856",121,40,405,175,105,0,46
"Salsola_ott675985",25,1,99,83,10,0,1
"Solanum_ott1020645",931,443,930,836,1121,27,60
"MRCA_of_taxa_in_Solidago_ott872351",81,1,250,114,160,0,16
"Sonchus_ott761940",6,16,225,216,100,0,4
"Sorghum_ott553001",71,17,19,84,100,0,2
"Sparganium_ott928468",35,4,22,0,48,0,0
"Spirodela_ott431386",12,3,2,2,13,0,2
"Stachydeae_ott534796_MRCA_of_taxa_in_Stachys_ott868253",17,9,9,1,454,0,0
"Tamarix_ott941999",55,5,214,180,175,0,1
"MRCA_of_taxa_in_Tradescantia_ott877742",1,3,2,0,53,0,0
"Trapa_ott17303",0,9,27,26,28,0,0
"Trifolium_?genus_in_kingdom_Archaeplastida?_ott935477",427,35,433,374,295,0,12
"Trillium_ott76108",7,14,113,102,248,0,0
"Typha_ott613197",8,4,21,0,169,0,4
"Ulmus_?genus_in_kingdom_Archaeplastida?_ott94969",30,24,44,31,64,0,0
"Veronica_ott507032",483,4,484,699,1063,0,2
"Viburnum_ott757503",33,24,261,245,306,0,6
"MRCA_of_taxa_in_Viola_ott295597",307,18,746,622,486,0,9
"Wisteria_ott489481",17,7,26,22,2,0,0
"Xanthium_ott217669",33,3,92,36,9,0,0
"Bothriocephalus_ott560031",39,10,10,29,0,0,53
"Dactylogyrus_ott869972",258,2,0,270,0,2,2
"Ichthyocotylurus_ott751876",6,0,5,7,0,0,23
"Neascus_ott3670002",3,0,0,0,0,0,3
"Scolex_ott5308164",0,0,0,0,0,0,0
"Timoniella_ott5694039",0,0,0,0,0,0,0
"Trochammina_ott781935",19,0,0,0,0,0,0
"Corythionella_ott1029966",0,0,0,0,0,0,0
"Varanus_ott713772",0,175,2,0,6,224,92
"Caiman_ott335589",0,46,1,1,0,8,159
"MRCA_of_taxa_in_Cliona_ott336987",46,0,79,123,0,0,117
"Gelliodes_ott373440",1,0,0,0,0,0,7
"MRCA_of_taxa_in_Suberites_ott127352",20,1,2,1,0,1,61
"MRCA_of_taxa_in_Prosuberites_ott804711",32,0,31,31,0,0,1
"Macrobiotus_ott661258",128,0,22,1,0,0,227
"Milnesium_ott1085413",45,0,24,0,0,0,66
"Polyandrocarpa_ott750981",4,1,0,0,0,0,11
"Ascidia_ott1033778",15,0,0,0,0,0,44
"Phallusia_ott12608",17,0,0,0,0,0,18
"Corella_ott726840",35,0,0,0,0,0,24
"Microcosmus_ott331381",14,1,0,0,0,1,323
"Symplegma_ott879606",3,0,0,0,0,0,18
"MRCA_of_taxa_in_Tilapia_ott288087",0,20,0,0,0,18,63
"MRCA_of_taxa_in_Acanthogobius_ott961465",2,9,0,0,0,38,45
"MRCA_of_taxa_in_Cephalopholis_ott764292",0,101,0,0,0,74,852
"Lutjanidae_ott129124_MRCA_of_taxa_in_Lutjanus_ott943201",26,138,0,4,0,150,1986
"Gonodactylaceus_ott880801",2,4,0,0,0,1,81
"Zebrasoma_ott199069",0,21,0,0,0,15,120
"MRCA_of_taxa_in_Acanthurus_ott605288",1,52,0,0,0,55,753
"MRCA_of_taxa_in_Anchoa_ott788271",0,57,0,0,0,5,102
"Apeltes_ott591252",0,5,0,0,0,3,18
"Archoplites_ott778316",0,1,0,0,0,0,3
"Astronotus_ott952934",0,8,0,0,0,8,22
"MRCA_of_taxa_in_Balistes_ott983863",0,14,0,0,0,13,87
"Cichla_ott356757",0,24,0,0,0,9,209
"Cittarium_ott624125",4,129,0,0,0,2,109
"Clariidae_ott828985_MRCA_of_taxa_in_Clarias_ott240810",24,181,21,16,2,29,519
"Enneacanthus_ott313431",0,4,0,0,0,1,39
"Esox_ott216166",5,43,0,0,0,30,585
"Hemichromis_ott312267",0,8,0,0,0,2,81
"Heros_ott870667",0,7,0,0,0,6,19
"Hoplosternum_ott64010",0,10,0,0,0,12,35
"Hypomesus_ott45215",0,73,47,0,2,30,281
"Ictalurus_ott701512",20,63,3,3,0,56,151
"Leuciscus_ott458413",0,68,0,2,0,12,164
"Limia_ott587129",0,7,0,0,0,52,43
"Lucania_ott84264",0,1,0,0,0,0,16
"MRCA_of_taxa_in_Misgurnus_ott1058127",4,35,0,0,0,87,370
"Mylocheilus_ott358408",0,10,0,0,0,3,17
"Noturus_ott357170",3,29,0,0,0,29,158
"Orthodon_?genus_in_subkingdom_SAR?_ott2825679",0,2,0,0,0,2,1
"Osteoglossum_ott179342",5,7,0,0,0,10,15
"MRCA_of_taxa_in_Oxydoras_ott842277",0,6,0,0,0,4,9
"Parachromis_ott295716",0,13,0,0,0,4,45
