"X","X18S","X.16S","X.ITS2","X.ITS1","X.trnl","X.12S","Combined_COI"
"Epilobieae_ott5747162_MRCA_of_taxa_in_Epilobium_ott139464",100,2,99,25,100,0,0
"Loliinae_ott107346_MRCA_of_taxa_in_Festuca_ott105596",100,13,100,100,100,0,0
"MRCA_of_taxa_in_Frangula_ott714689",34,0,4,0,45,0,3
"Gleditsia_ott677309",61,7,13,0,15,0,1
"Glyceria_ott1019667",76,4,52,46,14,0,0
"Gnaphalium_ott464144",3,0,25,17,15,0,0
"Gypsophila_ott28652",33,4,40,19,28,0,2
"Halymenia_ott733207",2,7,1,1,0,0,100
"Hedera_?genus_in_kingdom_Archaeplastida?_ott524077",9,2,72,67,100,0,0
"Helenium_ott661684",2,0,100,100,7,0,0
"Helianthus_ott515718",100,90,100,100,22,2,15
"Hordeum_ott493874",74,40,100,100,100,1,69
"Hydrocharis_?genus_in_kingdom_Archaeplastida?_ott40116",2,0,3,2,2,0,1
"Hydrocotyle_ott2500",52,4,21,12,45,0,0
"Hygrophila_?genus_in_kingdom_Archaeplastida?_ott430387",100,100,100,100,14,37,100
"Impatiens_ott928414",100,10,100,100,100,0,6
"Ipomoea_ott494853",100,95,100,100,100,4,3
"Iris_?genus_in_kingdom_Archaeplastida?_ott229529",20,64,100,100,100,1,3
"Juncus_ott545838",9,1,100,72,100,0,0
"Lactuca_ott515705",56,15,100,100,100,0,7
"Leucojum_ott779385",0,1,5,3,3,0,0
"Liatris_ott509201",3,0,68,56,1,0,0
"Ligustrum_ott597438",37,8,100,100,28,0,1
"Lomentaria_ott209224",2,0,0,0,0,0,52
"Loteae_ott1039849_MRCA_of_taxa_in_Lotus_ott879017",100,5,100,100,100,0,2
"Lupinus_ott878988",78,40,100,100,100,0,1
"Lycopus_?genus_in_kingdom_Archaeplastida?_ott304968",3,1,24,4,41,0,0
"MRCA_of_taxa_in_Lysimachia_ott383201",93,6,100,100,100,0,0
"Lythrum_ott886850",7,3,21,17,4,0,0
"Marrubium_ott82492",2,0,0,0,79,0,0
"Marsilea_ott164371",4,3,2,1,100,0,0
"Medicago_ott1086823",100,82,100,100,71,0,2
"MRCA_of_taxa_in_Mentha_ott55626",16,10,100,100,100,0,0
"Microstegium_ott100202",5,0,5,5,100,0,0
