"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Lycopus asper","Lycopus asper[ORGN] AND 18S","Lycopus asper[ORGN] AND  16S","Lycopus asper[ORGN] AND  PITS","Lycopus asper[ORGN] AND  CO1","Lycopus asper[ORGN] AND  COI","Lycopus asper[ORGN] AND  COX1","Lycopus asper[ORGN] AND  FITS","Lycopus asper[ORGN] AND  ITS2","Lycopus asper[ORGN] AND  ITS1","Lycopus asper[ORGN] AND  trnl","Lycopus asper[ORGN] AND  12S"
"Lycopus europaeus","Lycopus europaeus[ORGN] AND 18S","Lycopus europaeus[ORGN] AND  16S","Lycopus europaeus[ORGN] AND  PITS","Lycopus europaeus[ORGN] AND  CO1","Lycopus europaeus[ORGN] AND  COI","Lycopus europaeus[ORGN] AND  COX1","Lycopus europaeus[ORGN] AND  FITS","Lycopus europaeus[ORGN] AND  ITS2","Lycopus europaeus[ORGN] AND  ITS1","Lycopus europaeus[ORGN] AND  trnl","Lycopus europaeus[ORGN] AND  12S"
"Lysimachia nummularia","Lysimachia nummularia[ORGN] AND 18S","Lysimachia nummularia[ORGN] AND  16S","Lysimachia nummularia[ORGN] AND  PITS","Lysimachia nummularia[ORGN] AND  CO1","Lysimachia nummularia[ORGN] AND  COI","Lysimachia nummularia[ORGN] AND  COX1","Lysimachia nummularia[ORGN] AND  FITS","Lysimachia nummularia[ORGN] AND  ITS2","Lysimachia nummularia[ORGN] AND  ITS1","Lysimachia nummularia[ORGN] AND  trnl","Lysimachia nummularia[ORGN] AND  12S"
"Lysimachia vulgaris","Lysimachia vulgaris[ORGN] AND 18S","Lysimachia vulgaris[ORGN] AND  16S","Lysimachia vulgaris[ORGN] AND  PITS","Lysimachia vulgaris[ORGN] AND  CO1","Lysimachia vulgaris[ORGN] AND  COI","Lysimachia vulgaris[ORGN] AND  COX1","Lysimachia vulgaris[ORGN] AND  FITS","Lysimachia vulgaris[ORGN] AND  ITS2","Lysimachia vulgaris[ORGN] AND  ITS1","Lysimachia vulgaris[ORGN] AND  trnl","Lysimachia vulgaris[ORGN] AND  12S"
"Lythrum salicaria","Lythrum salicaria[ORGN] AND 18S","Lythrum salicaria[ORGN] AND  16S","Lythrum salicaria[ORGN] AND  PITS","Lythrum salicaria[ORGN] AND  CO1","Lythrum salicaria[ORGN] AND  COI","Lythrum salicaria[ORGN] AND  COX1","Lythrum salicaria[ORGN] AND  FITS","Lythrum salicaria[ORGN] AND  ITS2","Lythrum salicaria[ORGN] AND  ITS1","Lythrum salicaria[ORGN] AND  trnl","Lythrum salicaria[ORGN] AND  12S"
"Macfadyena","Macfadyena[ORGN] AND 18S","Macfadyena[ORGN] AND  16S","Macfadyena[ORGN] AND  PITS","Macfadyena[ORGN] AND  CO1","Macfadyena[ORGN] AND  COI","Macfadyena[ORGN] AND  COX1","Macfadyena[ORGN] AND  FITS","Macfadyena[ORGN] AND  ITS2","Macfadyena[ORGN] AND  ITS1","Macfadyena[ORGN] AND  trnl","Macfadyena[ORGN] AND  12S"
"Marrubium vulgare","Marrubium vulgare[ORGN] AND 18S","Marrubium vulgare[ORGN] AND  16S","Marrubium vulgare[ORGN] AND  PITS","Marrubium vulgare[ORGN] AND  CO1","Marrubium vulgare[ORGN] AND  COI","Marrubium vulgare[ORGN] AND  COX1","Marrubium vulgare[ORGN] AND  FITS","Marrubium vulgare[ORGN] AND  ITS2","Marrubium vulgare[ORGN] AND  ITS1","Marrubium vulgare[ORGN] AND  trnl","Marrubium vulgare[ORGN] AND  12S"
"Marsilea quadrifolia","Marsilea quadrifolia[ORGN] AND 18S","Marsilea quadrifolia[ORGN] AND  16S","Marsilea quadrifolia[ORGN] AND  PITS","Marsilea quadrifolia[ORGN] AND  CO1","Marsilea quadrifolia[ORGN] AND  COI","Marsilea quadrifolia[ORGN] AND  COX1","Marsilea quadrifolia[ORGN] AND  FITS","Marsilea quadrifolia[ORGN] AND  ITS2","Marsilea quadrifolia[ORGN] AND  ITS1","Marsilea quadrifolia[ORGN] AND  trnl","Marsilea quadrifolia[ORGN] AND  12S"
"Medicago lupulina","Medicago lupulina[ORGN] AND 18S","Medicago lupulina[ORGN] AND  16S","Medicago lupulina[ORGN] AND  PITS","Medicago lupulina[ORGN] AND  CO1","Medicago lupulina[ORGN] AND  COI","Medicago lupulina[ORGN] AND  COX1","Medicago lupulina[ORGN] AND  FITS","Medicago lupulina[ORGN] AND  ITS2","Medicago lupulina[ORGN] AND  ITS1","Medicago lupulina[ORGN] AND  trnl","Medicago lupulina[ORGN] AND  12S"
"Mentha aquatica","Mentha aquatica[ORGN] AND 18S","Mentha aquatica[ORGN] AND  16S","Mentha aquatica[ORGN] AND  PITS","Mentha aquatica[ORGN] AND  CO1","Mentha aquatica[ORGN] AND  COI","Mentha aquatica[ORGN] AND  COX1","Mentha aquatica[ORGN] AND  FITS","Mentha aquatica[ORGN] AND  ITS2","Mentha aquatica[ORGN] AND  ITS1","Mentha aquatica[ORGN] AND  trnl","Mentha aquatica[ORGN] AND  12S"
"Mentha spicata","Mentha spicata[ORGN] AND 18S","Mentha spicata[ORGN] AND  16S","Mentha spicata[ORGN] AND  PITS","Mentha spicata[ORGN] AND  CO1","Mentha spicata[ORGN] AND  COI","Mentha spicata[ORGN] AND  COX1","Mentha spicata[ORGN] AND  FITS","Mentha spicata[ORGN] AND  ITS2","Mentha spicata[ORGN] AND  ITS1","Mentha spicata[ORGN] AND  trnl","Mentha spicata[ORGN] AND  12S"
"Mentha x gracilis","Mentha x gracilis[ORGN] AND 18S","Mentha x gracilis[ORGN] AND  16S","Mentha x gracilis[ORGN] AND  PITS","Mentha x gracilis[ORGN] AND  CO1","Mentha x gracilis[ORGN] AND  COI","Mentha x gracilis[ORGN] AND  COX1","Mentha x gracilis[ORGN] AND  FITS","Mentha x gracilis[ORGN] AND  ITS2","Mentha x gracilis[ORGN] AND  ITS1","Mentha x gracilis[ORGN] AND  trnl","Mentha x gracilis[ORGN] AND  12S"
"Mentha x piperita","Mentha x piperita[ORGN] AND 18S","Mentha x piperita[ORGN] AND  16S","Mentha x piperita[ORGN] AND  PITS","Mentha x piperita[ORGN] AND  CO1","Mentha x piperita[ORGN] AND  COI","Mentha x piperita[ORGN] AND  COX1","Mentha x piperita[ORGN] AND  FITS","Mentha x piperita[ORGN] AND  ITS2","Mentha x piperita[ORGN] AND  ITS1","Mentha x piperita[ORGN] AND  trnl","Mentha x piperita[ORGN] AND  12S"
"Microstegium vimineum","Microstegium vimineum[ORGN] AND 18S","Microstegium vimineum[ORGN] AND  16S","Microstegium vimineum[ORGN] AND  PITS","Microstegium vimineum[ORGN] AND  CO1","Microstegium vimineum[ORGN] AND  COI","Microstegium vimineum[ORGN] AND  COX1","Microstegium vimineum[ORGN] AND  FITS","Microstegium vimineum[ORGN] AND  ITS2","Microstegium vimineum[ORGN] AND  ITS1","Microstegium vimineum[ORGN] AND  trnl","Microstegium vimineum[ORGN] AND  12S"
"Mollugo verticillata","Mollugo verticillata[ORGN] AND 18S","Mollugo verticillata[ORGN] AND  16S","Mollugo verticillata[ORGN] AND  PITS","Mollugo verticillata[ORGN] AND  CO1","Mollugo verticillata[ORGN] AND  COI","Mollugo verticillata[ORGN] AND  COX1","Mollugo verticillata[ORGN] AND  FITS","Mollugo verticillata[ORGN] AND  ITS2","Mollugo verticillata[ORGN] AND  ITS1","Mollugo verticillata[ORGN] AND  trnl","Mollugo verticillata[ORGN] AND  12S"
"Morus alba","Morus alba[ORGN] AND 18S","Morus alba[ORGN] AND  16S","Morus alba[ORGN] AND  PITS","Morus alba[ORGN] AND  CO1","Morus alba[ORGN] AND  COI","Morus alba[ORGN] AND  COX1","Morus alba[ORGN] AND  FITS","Morus alba[ORGN] AND  ITS2","Morus alba[ORGN] AND  ITS1","Morus alba[ORGN] AND  trnl","Morus alba[ORGN] AND  12S"
"Muhlenbergia racemosa","Muhlenbergia racemosa[ORGN] AND 18S","Muhlenbergia racemosa[ORGN] AND  16S","Muhlenbergia racemosa[ORGN] AND  PITS","Muhlenbergia racemosa[ORGN] AND  CO1","Muhlenbergia racemosa[ORGN] AND  COI","Muhlenbergia racemosa[ORGN] AND  COX1","Muhlenbergia racemosa[ORGN] AND  FITS","Muhlenbergia racemosa[ORGN] AND  ITS2","Muhlenbergia racemosa[ORGN] AND  ITS1","Muhlenbergia racemosa[ORGN] AND  trnl","Muhlenbergia racemosa[ORGN] AND  12S"
"Myosotis arvensis","Myosotis arvensis[ORGN] AND 18S","Myosotis arvensis[ORGN] AND  16S","Myosotis arvensis[ORGN] AND  PITS","Myosotis arvensis[ORGN] AND  CO1","Myosotis arvensis[ORGN] AND  COI","Myosotis arvensis[ORGN] AND  COX1","Myosotis arvensis[ORGN] AND  FITS","Myosotis arvensis[ORGN] AND  ITS2","Myosotis arvensis[ORGN] AND  ITS1","Myosotis arvensis[ORGN] AND  trnl","Myosotis arvensis[ORGN] AND  12S"
"Myosotis scorpioides","Myosotis scorpioides[ORGN] AND 18S","Myosotis scorpioides[ORGN] AND  16S","Myosotis scorpioides[ORGN] AND  PITS","Myosotis scorpioides[ORGN] AND  CO1","Myosotis scorpioides[ORGN] AND  COI","Myosotis scorpioides[ORGN] AND  COX1","Myosotis scorpioides[ORGN] AND  FITS","Myosotis scorpioides[ORGN] AND  ITS2","Myosotis scorpioides[ORGN] AND  ITS1","Myosotis scorpioides[ORGN] AND  trnl","Myosotis scorpioides[ORGN] AND  12S"
"Myosoton aquaticum","Myosoton aquaticum[ORGN] AND 18S","Myosoton aquaticum[ORGN] AND  16S","Myosoton aquaticum[ORGN] AND  PITS","Myosoton aquaticum[ORGN] AND  CO1","Myosoton aquaticum[ORGN] AND  COI","Myosoton aquaticum[ORGN] AND  COX1","Myosoton aquaticum[ORGN] AND  FITS","Myosoton aquaticum[ORGN] AND  ITS2","Myosoton aquaticum[ORGN] AND  ITS1","Myosoton aquaticum[ORGN] AND  trnl","Myosoton aquaticum[ORGN] AND  12S"
"Najas marina","Najas marina[ORGN] AND 18S","Najas marina[ORGN] AND  16S","Najas marina[ORGN] AND  PITS","Najas marina[ORGN] AND  CO1","Najas marina[ORGN] AND  COI","Najas marina[ORGN] AND  COX1","Najas marina[ORGN] AND  FITS","Najas marina[ORGN] AND  ITS2","Najas marina[ORGN] AND  ITS1","Najas marina[ORGN] AND  trnl","Najas marina[ORGN] AND  12S"
"Najas minor","Najas minor[ORGN] AND 18S","Najas minor[ORGN] AND  16S","Najas minor[ORGN] AND  PITS","Najas minor[ORGN] AND  CO1","Najas minor[ORGN] AND  COI","Najas minor[ORGN] AND  COX1","Najas minor[ORGN] AND  FITS","Najas minor[ORGN] AND  ITS2","Najas minor[ORGN] AND  ITS1","Najas minor[ORGN] AND  trnl","Najas minor[ORGN] AND  12S"
"Nasturtium officinale","Nasturtium officinale[ORGN] AND 18S","Nasturtium officinale[ORGN] AND  16S","Nasturtium officinale[ORGN] AND  PITS","Nasturtium officinale[ORGN] AND  CO1","Nasturtium officinale[ORGN] AND  COI","Nasturtium officinale[ORGN] AND  COX1","Nasturtium officinale[ORGN] AND  FITS","Nasturtium officinale[ORGN] AND  ITS2","Nasturtium officinale[ORGN] AND  ITS1","Nasturtium officinale[ORGN] AND  trnl","Nasturtium officinale[ORGN] AND  12S"
"Nepeta cataria","Nepeta cataria[ORGN] AND 18S","Nepeta cataria[ORGN] AND  16S","Nepeta cataria[ORGN] AND  PITS","Nepeta cataria[ORGN] AND  CO1","Nepeta cataria[ORGN] AND  COI","Nepeta cataria[ORGN] AND  COX1","Nepeta cataria[ORGN] AND  FITS","Nepeta cataria[ORGN] AND  ITS2","Nepeta cataria[ORGN] AND  ITS1","Nepeta cataria[ORGN] AND  trnl","Nepeta cataria[ORGN] AND  12S"
"Oenothera pilosella","Oenothera pilosella[ORGN] AND 18S","Oenothera pilosella[ORGN] AND  16S","Oenothera pilosella[ORGN] AND  PITS","Oenothera pilosella[ORGN] AND  CO1","Oenothera pilosella[ORGN] AND  COI","Oenothera pilosella[ORGN] AND  COX1","Oenothera pilosella[ORGN] AND  FITS","Oenothera pilosella[ORGN] AND  ITS2","Oenothera pilosella[ORGN] AND  ITS1","Oenothera pilosella[ORGN] AND  trnl","Oenothera pilosella[ORGN] AND  12S"
"Ornithogalum umbellatum","Ornithogalum umbellatum[ORGN] AND 18S","Ornithogalum umbellatum[ORGN] AND  16S","Ornithogalum umbellatum[ORGN] AND  PITS","Ornithogalum umbellatum[ORGN] AND  CO1","Ornithogalum umbellatum[ORGN] AND  COI","Ornithogalum umbellatum[ORGN] AND  COX1","Ornithogalum umbellatum[ORGN] AND  FITS","Ornithogalum umbellatum[ORGN] AND  ITS2","Ornithogalum umbellatum[ORGN] AND  ITS1","Ornithogalum umbellatum[ORGN] AND  trnl","Ornithogalum umbellatum[ORGN] AND  12S"
"Panicum repens","Panicum repens[ORGN] AND 18S","Panicum repens[ORGN] AND  16S","Panicum repens[ORGN] AND  PITS","Panicum repens[ORGN] AND  CO1","Panicum repens[ORGN] AND  COI","Panicum repens[ORGN] AND  COX1","Panicum repens[ORGN] AND  FITS","Panicum repens[ORGN] AND  ITS2","Panicum repens[ORGN] AND  ITS1","Panicum repens[ORGN] AND  trnl","Panicum repens[ORGN] AND  12S"
"Parthenocissus quinquefolia","Parthenocissus quinquefolia[ORGN] AND 18S","Parthenocissus quinquefolia[ORGN] AND  16S","Parthenocissus quinquefolia[ORGN] AND  PITS","Parthenocissus quinquefolia[ORGN] AND  CO1","Parthenocissus quinquefolia[ORGN] AND  COI","Parthenocissus quinquefolia[ORGN] AND  COX1","Parthenocissus quinquefolia[ORGN] AND  FITS","Parthenocissus quinquefolia[ORGN] AND  ITS2","Parthenocissus quinquefolia[ORGN] AND  ITS1","Parthenocissus quinquefolia[ORGN] AND  trnl","Parthenocissus quinquefolia[ORGN] AND  12S"
"Phalaris arundinacea","Phalaris arundinacea[ORGN] AND 18S","Phalaris arundinacea[ORGN] AND  16S","Phalaris arundinacea[ORGN] AND  PITS","Phalaris arundinacea[ORGN] AND  CO1","Phalaris arundinacea[ORGN] AND  COI","Phalaris arundinacea[ORGN] AND  COX1","Phalaris arundinacea[ORGN] AND  FITS","Phalaris arundinacea[ORGN] AND  ITS2","Phalaris arundinacea[ORGN] AND  ITS1","Phalaris arundinacea[ORGN] AND  trnl","Phalaris arundinacea[ORGN] AND  12S"
"Phragmites australis","Phragmites australis[ORGN] AND 18S","Phragmites australis[ORGN] AND  16S","Phragmites australis[ORGN] AND  PITS","Phragmites australis[ORGN] AND  CO1","Phragmites australis[ORGN] AND  COI","Phragmites australis[ORGN] AND  COX1","Phragmites australis[ORGN] AND  FITS","Phragmites australis[ORGN] AND  ITS2","Phragmites australis[ORGN] AND  ITS1","Phragmites australis[ORGN] AND  trnl","Phragmites australis[ORGN] AND  12S"
"Picea pungens","Picea pungens[ORGN] AND 18S","Picea pungens[ORGN] AND  16S","Picea pungens[ORGN] AND  PITS","Picea pungens[ORGN] AND  CO1","Picea pungens[ORGN] AND  COI","Picea pungens[ORGN] AND  COX1","Picea pungens[ORGN] AND  FITS","Picea pungens[ORGN] AND  ITS2","Picea pungens[ORGN] AND  ITS1","Picea pungens[ORGN] AND  trnl","Picea pungens[ORGN] AND  12S"
"Plantago lanceolata","Plantago lanceolata[ORGN] AND 18S","Plantago lanceolata[ORGN] AND  16S","Plantago lanceolata[ORGN] AND  PITS","Plantago lanceolata[ORGN] AND  CO1","Plantago lanceolata[ORGN] AND  COI","Plantago lanceolata[ORGN] AND  COX1","Plantago lanceolata[ORGN] AND  FITS","Plantago lanceolata[ORGN] AND  ITS2","Plantago lanceolata[ORGN] AND  ITS1","Plantago lanceolata[ORGN] AND  trnl","Plantago lanceolata[ORGN] AND  12S"
"Plantago major","Plantago major[ORGN] AND 18S","Plantago major[ORGN] AND  16S","Plantago major[ORGN] AND  PITS","Plantago major[ORGN] AND  CO1","Plantago major[ORGN] AND  COI","Plantago major[ORGN] AND  COX1","Plantago major[ORGN] AND  FITS","Plantago major[ORGN] AND  ITS2","Plantago major[ORGN] AND  ITS1","Plantago major[ORGN] AND  trnl","Plantago major[ORGN] AND  12S"
"Plantago rugelii","Plantago rugelii[ORGN] AND 18S","Plantago rugelii[ORGN] AND  16S","Plantago rugelii[ORGN] AND  PITS","Plantago rugelii[ORGN] AND  CO1","Plantago rugelii[ORGN] AND  COI","Plantago rugelii[ORGN] AND  COX1","Plantago rugelii[ORGN] AND  FITS","Plantago rugelii[ORGN] AND  ITS2","Plantago rugelii[ORGN] AND  ITS1","Plantago rugelii[ORGN] AND  trnl","Plantago rugelii[ORGN] AND  12S"
"Pluchea odorata","Pluchea odorata[ORGN] AND 18S","Pluchea odorata[ORGN] AND  16S","Pluchea odorata[ORGN] AND  PITS","Pluchea odorata[ORGN] AND  CO1","Pluchea odorata[ORGN] AND  COI","Pluchea odorata[ORGN] AND  COX1","Pluchea odorata[ORGN] AND  FITS","Pluchea odorata[ORGN] AND  ITS2","Pluchea odorata[ORGN] AND  ITS1","Pluchea odorata[ORGN] AND  trnl","Pluchea odorata[ORGN] AND  12S"
"Poa annua","Poa annua[ORGN] AND 18S","Poa annua[ORGN] AND  16S","Poa annua[ORGN] AND  PITS","Poa annua[ORGN] AND  CO1","Poa annua[ORGN] AND  COI","Poa annua[ORGN] AND  COX1","Poa annua[ORGN] AND  FITS","Poa annua[ORGN] AND  ITS2","Poa annua[ORGN] AND  ITS1","Poa annua[ORGN] AND  trnl","Poa annua[ORGN] AND  12S"
"Poa bulbosa","Poa bulbosa[ORGN] AND 18S","Poa bulbosa[ORGN] AND  16S","Poa bulbosa[ORGN] AND  PITS","Poa bulbosa[ORGN] AND  CO1","Poa bulbosa[ORGN] AND  COI","Poa bulbosa[ORGN] AND  COX1","Poa bulbosa[ORGN] AND  FITS","Poa bulbosa[ORGN] AND  ITS2","Poa bulbosa[ORGN] AND  ITS1","Poa bulbosa[ORGN] AND  trnl","Poa bulbosa[ORGN] AND  12S"
"Poa pratensis","Poa pratensis[ORGN] AND 18S","Poa pratensis[ORGN] AND  16S","Poa pratensis[ORGN] AND  PITS","Poa pratensis[ORGN] AND  CO1","Poa pratensis[ORGN] AND  COI","Poa pratensis[ORGN] AND  COX1","Poa pratensis[ORGN] AND  FITS","Poa pratensis[ORGN] AND  ITS2","Poa pratensis[ORGN] AND  ITS1","Poa pratensis[ORGN] AND  trnl","Poa pratensis[ORGN] AND  12S"
"Poa trivialis","Poa trivialis[ORGN] AND 18S","Poa trivialis[ORGN] AND  16S","Poa trivialis[ORGN] AND  PITS","Poa trivialis[ORGN] AND  CO1","Poa trivialis[ORGN] AND  COI","Poa trivialis[ORGN] AND  COX1","Poa trivialis[ORGN] AND  FITS","Poa trivialis[ORGN] AND  ITS2","Poa trivialis[ORGN] AND  ITS1","Poa trivialis[ORGN] AND  trnl","Poa trivialis[ORGN] AND  12S"
"Polygonum","Polygonum[ORGN] AND 18S","Polygonum[ORGN] AND  16S","Polygonum[ORGN] AND  PITS","Polygonum[ORGN] AND  CO1","Polygonum[ORGN] AND  COI","Polygonum[ORGN] AND  COX1","Polygonum[ORGN] AND  FITS","Polygonum[ORGN] AND  ITS2","Polygonum[ORGN] AND  ITS1","Polygonum[ORGN] AND  trnl","Polygonum[ORGN] AND  12S"
"Polygonum aviculare","Polygonum aviculare[ORGN] AND 18S","Polygonum aviculare[ORGN] AND  16S","Polygonum aviculare[ORGN] AND  PITS","Polygonum aviculare[ORGN] AND  CO1","Polygonum aviculare[ORGN] AND  COI","Polygonum aviculare[ORGN] AND  COX1","Polygonum aviculare[ORGN] AND  FITS","Polygonum aviculare[ORGN] AND  ITS2","Polygonum aviculare[ORGN] AND  ITS1","Polygonum aviculare[ORGN] AND  trnl","Polygonum aviculare[ORGN] AND  12S"
"Polygonum cuspidatum","Polygonum cuspidatum[ORGN] AND 18S","Polygonum cuspidatum[ORGN] AND  16S","Polygonum cuspidatum[ORGN] AND  PITS","Polygonum cuspidatum[ORGN] AND  CO1","Polygonum cuspidatum[ORGN] AND  COI","Polygonum cuspidatum[ORGN] AND  COX1","Polygonum cuspidatum[ORGN] AND  FITS","Polygonum cuspidatum[ORGN] AND  ITS2","Polygonum cuspidatum[ORGN] AND  ITS1","Polygonum cuspidatum[ORGN] AND  trnl","Polygonum cuspidatum[ORGN] AND  12S"
"Polygonum ramosissimum","Polygonum ramosissimum[ORGN] AND 18S","Polygonum ramosissimum[ORGN] AND  16S","Polygonum ramosissimum[ORGN] AND  PITS","Polygonum ramosissimum[ORGN] AND  CO1","Polygonum ramosissimum[ORGN] AND  COI","Polygonum ramosissimum[ORGN] AND  COX1","Polygonum ramosissimum[ORGN] AND  FITS","Polygonum ramosissimum[ORGN] AND  ITS2","Polygonum ramosissimum[ORGN] AND  ITS1","Polygonum ramosissimum[ORGN] AND  trnl","Polygonum ramosissimum[ORGN] AND  12S"
"Populus deltoides","Populus deltoides[ORGN] AND 18S","Populus deltoides[ORGN] AND  16S","Populus deltoides[ORGN] AND  PITS","Populus deltoides[ORGN] AND  CO1","Populus deltoides[ORGN] AND  COI","Populus deltoides[ORGN] AND  COX1","Populus deltoides[ORGN] AND  FITS","Populus deltoides[ORGN] AND  ITS2","Populus deltoides[ORGN] AND  ITS1","Populus deltoides[ORGN] AND  trnl","Populus deltoides[ORGN] AND  12S"
"Portulaca oleracea","Portulaca oleracea[ORGN] AND 18S","Portulaca oleracea[ORGN] AND  16S","Portulaca oleracea[ORGN] AND  PITS","Portulaca oleracea[ORGN] AND  CO1","Portulaca oleracea[ORGN] AND  COI","Portulaca oleracea[ORGN] AND  COX1","Portulaca oleracea[ORGN] AND  FITS","Portulaca oleracea[ORGN] AND  ITS2","Portulaca oleracea[ORGN] AND  ITS1","Portulaca oleracea[ORGN] AND  trnl","Portulaca oleracea[ORGN] AND  12S"
"Potamogeton crispus","Potamogeton crispus[ORGN] AND 18S","Potamogeton crispus[ORGN] AND  16S","Potamogeton crispus[ORGN] AND  PITS","Potamogeton crispus[ORGN] AND  CO1","Potamogeton crispus[ORGN] AND  COI","Potamogeton crispus[ORGN] AND  COX1","Potamogeton crispus[ORGN] AND  FITS","Potamogeton crispus[ORGN] AND  ITS2","Potamogeton crispus[ORGN] AND  ITS1","Potamogeton crispus[ORGN] AND  trnl","Potamogeton crispus[ORGN] AND  12S"
"Potentilla norvegica","Potentilla norvegica[ORGN] AND 18S","Potentilla norvegica[ORGN] AND  16S","Potentilla norvegica[ORGN] AND  PITS","Potentilla norvegica[ORGN] AND  CO1","Potentilla norvegica[ORGN] AND  COI","Potentilla norvegica[ORGN] AND  COX1","Potentilla norvegica[ORGN] AND  FITS","Potentilla norvegica[ORGN] AND  ITS2","Potentilla norvegica[ORGN] AND  ITS1","Potentilla norvegica[ORGN] AND  trnl","Potentilla norvegica[ORGN] AND  12S"
"Prosopis pallida","Prosopis pallida[ORGN] AND 18S","Prosopis pallida[ORGN] AND  16S","Prosopis pallida[ORGN] AND  PITS","Prosopis pallida[ORGN] AND  CO1","Prosopis pallida[ORGN] AND  COI","Prosopis pallida[ORGN] AND  COX1","Prosopis pallida[ORGN] AND  FITS","Prosopis pallida[ORGN] AND  ITS2","Prosopis pallida[ORGN] AND  ITS1","Prosopis pallida[ORGN] AND  trnl","Prosopis pallida[ORGN] AND  12S"
"Prunella vulgaris","Prunella vulgaris[ORGN] AND 18S","Prunella vulgaris[ORGN] AND  16S","Prunella vulgaris[ORGN] AND  PITS","Prunella vulgaris[ORGN] AND  CO1","Prunella vulgaris[ORGN] AND  COI","Prunella vulgaris[ORGN] AND  COX1","Prunella vulgaris[ORGN] AND  FITS","Prunella vulgaris[ORGN] AND  ITS2","Prunella vulgaris[ORGN] AND  ITS1","Prunella vulgaris[ORGN] AND  trnl","Prunella vulgaris[ORGN] AND  12S"
"Puccinellia distans","Puccinellia distans[ORGN] AND 18S","Puccinellia distans[ORGN] AND  16S","Puccinellia distans[ORGN] AND  PITS","Puccinellia distans[ORGN] AND  CO1","Puccinellia distans[ORGN] AND  COI","Puccinellia distans[ORGN] AND  COX1","Puccinellia distans[ORGN] AND  FITS","Puccinellia distans[ORGN] AND  ITS2","Puccinellia distans[ORGN] AND  ITS1","Puccinellia distans[ORGN] AND  trnl","Puccinellia distans[ORGN] AND  12S"
"Ranunculus acris","Ranunculus acris[ORGN] AND 18S","Ranunculus acris[ORGN] AND  16S","Ranunculus acris[ORGN] AND  PITS","Ranunculus acris[ORGN] AND  CO1","Ranunculus acris[ORGN] AND  COI","Ranunculus acris[ORGN] AND  COX1","Ranunculus acris[ORGN] AND  FITS","Ranunculus acris[ORGN] AND  ITS2","Ranunculus acris[ORGN] AND  ITS1","Ranunculus acris[ORGN] AND  trnl","Ranunculus acris[ORGN] AND  12S"
"Ranunculus bulbosus","Ranunculus bulbosus[ORGN] AND 18S","Ranunculus bulbosus[ORGN] AND  16S","Ranunculus bulbosus[ORGN] AND  PITS","Ranunculus bulbosus[ORGN] AND  CO1","Ranunculus bulbosus[ORGN] AND  COI","Ranunculus bulbosus[ORGN] AND  COX1","Ranunculus bulbosus[ORGN] AND  FITS","Ranunculus bulbosus[ORGN] AND  ITS2","Ranunculus bulbosus[ORGN] AND  ITS1","Ranunculus bulbosus[ORGN] AND  trnl","Ranunculus bulbosus[ORGN] AND  12S"
"Ranunculus flammula","Ranunculus flammula[ORGN] AND 18S","Ranunculus flammula[ORGN] AND  16S","Ranunculus flammula[ORGN] AND  PITS","Ranunculus flammula[ORGN] AND  CO1","Ranunculus flammula[ORGN] AND  COI","Ranunculus flammula[ORGN] AND  COX1","Ranunculus flammula[ORGN] AND  FITS","Ranunculus flammula[ORGN] AND  ITS2","Ranunculus flammula[ORGN] AND  ITS1","Ranunculus flammula[ORGN] AND  trnl","Ranunculus flammula[ORGN] AND  12S"
"Ranunculus repens","Ranunculus repens[ORGN] AND 18S","Ranunculus repens[ORGN] AND  16S","Ranunculus repens[ORGN] AND  PITS","Ranunculus repens[ORGN] AND  CO1","Ranunculus repens[ORGN] AND  COI","Ranunculus repens[ORGN] AND  COX1","Ranunculus repens[ORGN] AND  FITS","Ranunculus repens[ORGN] AND  ITS2","Ranunculus repens[ORGN] AND  ITS1","Ranunculus repens[ORGN] AND  trnl","Ranunculus repens[ORGN] AND  12S"
"Rhamnus cathartica","Rhamnus cathartica[ORGN] AND 18S","Rhamnus cathartica[ORGN] AND  16S","Rhamnus cathartica[ORGN] AND  PITS","Rhamnus cathartica[ORGN] AND  CO1","Rhamnus cathartica[ORGN] AND  COI","Rhamnus cathartica[ORGN] AND  COX1","Rhamnus cathartica[ORGN] AND  FITS","Rhamnus cathartica[ORGN] AND  ITS2","Rhamnus cathartica[ORGN] AND  ITS1","Rhamnus cathartica[ORGN] AND  trnl","Rhamnus cathartica[ORGN] AND  12S"
"Rhizophora mangle","Rhizophora mangle[ORGN] AND 18S","Rhizophora mangle[ORGN] AND  16S","Rhizophora mangle[ORGN] AND  PITS","Rhizophora mangle[ORGN] AND  CO1","Rhizophora mangle[ORGN] AND  COI","Rhizophora mangle[ORGN] AND  COX1","Rhizophora mangle[ORGN] AND  FITS","Rhizophora mangle[ORGN] AND  ITS2","Rhizophora mangle[ORGN] AND  ITS1","Rhizophora mangle[ORGN] AND  trnl","Rhizophora mangle[ORGN] AND  12S"
