"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Myriophyllum aquaticum","Myriophyllum aquaticum[ORGN] AND 18S","Myriophyllum aquaticum[ORGN] AND  16S","Myriophyllum aquaticum[ORGN] AND  PITS","Myriophyllum aquaticum[ORGN] AND  CO1","Myriophyllum aquaticum[ORGN] AND  COI","Myriophyllum aquaticum[ORGN] AND  COX1","Myriophyllum aquaticum[ORGN] AND  FITS","Myriophyllum aquaticum[ORGN] AND  ITS2","Myriophyllum aquaticum[ORGN] AND  ITS1","Myriophyllum aquaticum[ORGN] AND  trnl","Myriophyllum aquaticum[ORGN] AND  12S"
"Egeria densa","Egeria densa[ORGN] AND 18S","Egeria densa[ORGN] AND  16S","Egeria densa[ORGN] AND  PITS","Egeria densa[ORGN] AND  CO1","Egeria densa[ORGN] AND  COI","Egeria densa[ORGN] AND  COX1","Egeria densa[ORGN] AND  FITS","Egeria densa[ORGN] AND  ITS2","Egeria densa[ORGN] AND  ITS1","Egeria densa[ORGN] AND  trnl","Egeria densa[ORGN] AND  12S"
"Eichhornia crassipes","Eichhornia crassipes[ORGN] AND 18S","Eichhornia crassipes[ORGN] AND  16S","Eichhornia crassipes[ORGN] AND  PITS","Eichhornia crassipes[ORGN] AND  CO1","Eichhornia crassipes[ORGN] AND  COI","Eichhornia crassipes[ORGN] AND  COX1","Eichhornia crassipes[ORGN] AND  FITS","Eichhornia crassipes[ORGN] AND  ITS2","Eichhornia crassipes[ORGN] AND  ITS1","Eichhornia crassipes[ORGN] AND  trnl","Eichhornia crassipes[ORGN] AND  12S"
"Hydrilla verticillata","Hydrilla verticillata[ORGN] AND 18S","Hydrilla verticillata[ORGN] AND  16S","Hydrilla verticillata[ORGN] AND  PITS","Hydrilla verticillata[ORGN] AND  CO1","Hydrilla verticillata[ORGN] AND  COI","Hydrilla verticillata[ORGN] AND  COX1","Hydrilla verticillata[ORGN] AND  FITS","Hydrilla verticillata[ORGN] AND  ITS2","Hydrilla verticillata[ORGN] AND  ITS1","Hydrilla verticillata[ORGN] AND  trnl","Hydrilla verticillata[ORGN] AND  12S"
"Nymphoides peltata","Nymphoides peltata[ORGN] AND 18S","Nymphoides peltata[ORGN] AND  16S","Nymphoides peltata[ORGN] AND  PITS","Nymphoides peltata[ORGN] AND  CO1","Nymphoides peltata[ORGN] AND  COI","Nymphoides peltata[ORGN] AND  COX1","Nymphoides peltata[ORGN] AND  FITS","Nymphoides peltata[ORGN] AND  ITS2","Nymphoides peltata[ORGN] AND  ITS1","Nymphoides peltata[ORGN] AND  trnl","Nymphoides peltata[ORGN] AND  12S"
"Pistia stratiotes","Pistia stratiotes[ORGN] AND 18S","Pistia stratiotes[ORGN] AND  16S","Pistia stratiotes[ORGN] AND  PITS","Pistia stratiotes[ORGN] AND  CO1","Pistia stratiotes[ORGN] AND  COI","Pistia stratiotes[ORGN] AND  COX1","Pistia stratiotes[ORGN] AND  FITS","Pistia stratiotes[ORGN] AND  ITS2","Pistia stratiotes[ORGN] AND  ITS1","Pistia stratiotes[ORGN] AND  trnl","Pistia stratiotes[ORGN] AND  12S"
"Salvinia molesta","Salvinia molesta[ORGN] AND 18S","Salvinia molesta[ORGN] AND  16S","Salvinia molesta[ORGN] AND  PITS","Salvinia molesta[ORGN] AND  CO1","Salvinia molesta[ORGN] AND  COI","Salvinia molesta[ORGN] AND  COX1","Salvinia molesta[ORGN] AND  FITS","Salvinia molesta[ORGN] AND  ITS2","Salvinia molesta[ORGN] AND  ITS1","Salvinia molesta[ORGN] AND  trnl","Salvinia molesta[ORGN] AND  12S"
"Ciona intestinalis","Ciona intestinalis[ORGN] AND 18S","Ciona intestinalis[ORGN] AND  16S","Ciona intestinalis[ORGN] AND  PITS","Ciona intestinalis[ORGN] AND  CO1","Ciona intestinalis[ORGN] AND  COI","Ciona intestinalis[ORGN] AND  COX1","Ciona intestinalis[ORGN] AND  FITS","Ciona intestinalis[ORGN] AND  ITS2","Ciona intestinalis[ORGN] AND  ITS1","Ciona intestinalis[ORGN] AND  trnl","Ciona intestinalis[ORGN] AND  12S"
"Ciona intestinalis B CG-2006","Ciona intestinalis B CG-2006[ORGN] AND 18S","Ciona intestinalis B CG-2006[ORGN] AND  16S","Ciona intestinalis B CG-2006[ORGN] AND  PITS","Ciona intestinalis B CG-2006[ORGN] AND  CO1","Ciona intestinalis B CG-2006[ORGN] AND  COI","Ciona intestinalis B CG-2006[ORGN] AND  COX1","Ciona intestinalis B CG-2006[ORGN] AND  FITS","Ciona intestinalis B CG-2006[ORGN] AND  ITS2","Ciona intestinalis B CG-2006[ORGN] AND  ITS1","Ciona intestinalis B CG-2006[ORGN] AND  trnl","Ciona intestinalis B CG-2006[ORGN] AND  12S"
"Didemnum vexillum","Didemnum vexillum[ORGN] AND 18S","Didemnum vexillum[ORGN] AND  16S","Didemnum vexillum[ORGN] AND  PITS","Didemnum vexillum[ORGN] AND  CO1","Didemnum vexillum[ORGN] AND  COI","Didemnum vexillum[ORGN] AND  COX1","Didemnum vexillum[ORGN] AND  FITS","Didemnum vexillum[ORGN] AND  ITS2","Didemnum vexillum[ORGN] AND  ITS1","Didemnum vexillum[ORGN] AND  trnl","Didemnum vexillum[ORGN] AND  12S"
