"","18S"," 16S"," PITS"," CO1"," COI"," COX1"," FITS"," ITS2"," ITS1"," trnl"," 12S"
"Cylindrospermopsis raciborskii CS-509","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CS-510","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CS-511","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii 1LT32S01","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii BM","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB1336","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB1351","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB141","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB151","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB155","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB2379","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB2380","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB353","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB358","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB359","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB481","0","4","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB482","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii KLL07","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii MG","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CP-1","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CP-2","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC145.02","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC286.06","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii MVCC14","0","201","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii MVCC19","0","158","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CYL BM-02","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CYL BM-07","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NB-05","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NB-07","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii SS-01","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii str. Sidi","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii Cyl Vietnam","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LEGE 051","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii LMECYA 130","0","3","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CCMP1973","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CYP011K","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NIES-992","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C12","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C13","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C14","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C15","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C16","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C17","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C18","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C2","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C3","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C5","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C7","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C8","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FAS-C9","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FL-D","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FL-E","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FL-F","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FL-I","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FL-L","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii str. Tarpon","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii UTEX LB 2897","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii UAM VCC+","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii str. Toro","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii UAM520","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii UAM544","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CENA302","0","119","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CENA303","0","157","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CENA305","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CENA306","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CYP24c","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii GOU11","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii ISG9","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii KAS14","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii KAS21","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii KAS43","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NAR12","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NIES-1042","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NIES-994","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii TH21","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii TH35","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii TH41","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii TH95","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii AQS","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii FSS-127","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii AK1","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii AN1","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii AT1","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii AT2","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CBM","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NIVA-CYA 399","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NIVA-CYA 508","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii NIVA-CYA 510","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC115.02","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC287.06","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii PMC61.01","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii str. Sidi 08","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3409","0","1","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3412","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3424","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3425","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3438","0","2","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB3440","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB357","0","0","0","0","0","0","0","0","0","0","0"
"Cylindrospermopsis raciborskii CHAB5182","0","0","0","0","0","0","0","0","0","0","0"
