"ORGN Name","18S","16S","PITS","CO1","COI","COX1","FITS","ITS2","ITS1","trnl","12S"
"Caulerpa serrulata","Caulerpa serrulata","Caulerpa serrulata","zero","zero","zero","zero","zero","Caulerpa serrulata","Caulerpa serrulata","zero","zero"
"Chaetoceros muellerii","Chaetoceros muellerii","Chaetoceros muellerii","zero","zero","zero","zero","zero","Chaetoceros muellerii","Chaetoceros muellerii","zero","zero"
"Chroodactylon","Chroodactylon","Chroodactylon","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cyclotella atomus","Cyclotella atomus","zero","zero","zero","zero","zero","zero","Cyclotella atomus","Cyclotella atomus","zero","zero"
"Cyclotella cryptica","Cyclotella cryptica","Cyclotella cryptica","zero","zero","Cyclotella cryptica","zero","zero","Cyclotella cryptica","Cyclotella cryptica","zero","zero"
"Cyclotella pseudostelligera","Cyclotella pseudostelligera","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cyclotella","Cyclotella","Cyclotella","zero","zero","Cyclotella","zero","zero","Cyclotella","Cyclotella","zero","zero"
"Cylindrospermopsis raciborskii","zero","Cylindrospermopsis raciborskii","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii","zero","zero"
"Cylindrospermopsis raciborskii CYP-030B","zero","Cylindrospermopsis raciborskii CYP-030B","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii CYP-030B","zero","zero"
"Cylindrospermopsis raciborskii CYP-026J","zero","zero","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii CYP-026J","zero","zero"
"Cylindrospermopsis raciborskii PMC118.02","zero","Cylindrospermopsis raciborskii PMC118.02","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii PMC118.02","zero","zero"
"Cylindrospermopsis raciborskii PMC117.02","zero","Cylindrospermopsis raciborskii PMC117.02","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii PMC117.02","zero","zero"
"Cylindrospermopsis raciborskii PMC98.14","zero","Cylindrospermopsis raciborskii PMC98.14","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii PMC98.14","zero","zero"
"Cylindrospermopsis raciborskii PMC99.12","zero","Cylindrospermopsis raciborskii PMC99.12","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii PMC99.12","zero","zero"
"Cylindrospermopsis raciborskii PMC114.02","zero","zero","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii PMC114.02","zero","zero"
"Cylindrospermopsis raciborskii PMC99.06","zero","zero","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii PMC99.06","zero","zero"
"Cylindrospermopsis raciborskii PMC99.08","zero","Cylindrospermopsis raciborskii PMC99.08","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii ATC-9502","zero","Cylindrospermopsis raciborskii ATC-9502","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii ATC-9502","zero","zero"
"Cylindrospermopsis raciborskii PMC00.01","zero","Cylindrospermopsis raciborskii PMC00.01","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii PMC00.01","zero","zero"
"Cylindrospermopsis raciborskii ITEP-A3","zero","Cylindrospermopsis raciborskii ITEP-A3","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii ITEP-A3","zero","zero"
"Cylindrospermopsis raciborskii ITEP-018","zero","Cylindrospermopsis raciborskii ITEP-018","zero","zero","zero","zero","zero","zero","Cylindrospermopsis raciborskii ITEP-018","zero","zero"
"Cylindrospermopsis raciborskii FLcultureE-3","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FLcultureL-5","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii NJ3","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii str. Goon","zero","Cylindrospermopsis raciborskii str. Goon","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii T3","zero","Cylindrospermopsis raciborskii T3","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LMECYA 134","zero","Cylindrospermopsis raciborskii LMECYA 134","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii FAS-C1","zero","Cylindrospermopsis raciborskii FAS-C1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii QHSS/NR/CYL/03","zero","Cylindrospermopsis raciborskii QHSS/NR/CYL/03","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LMECYA 132","zero","Cylindrospermopsis raciborskii LMECYA 132","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LMECYA 135","zero","Cylindrospermopsis raciborskii LMECYA 135","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii 3-1","zero","Cylindrospermopsis raciborskii 3-1","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii AWT205","zero","Cylindrospermopsis raciborskii AWT205","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYP-018A","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii CYP032A","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LD-D","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LD-E","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LD-F","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LD-G","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
"Cylindrospermopsis raciborskii LD-I","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero","zero"
