"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Achillea","35","0","0","0","0","128","96","261","0"
"Aegopodium","0","0","0","0","0","20","18","5","0"
"Agrostis","109","6","0","0","0","178","159","75","0"
"Alliaria","0","2","0","0","0","23","17","14","0"
"Allium","367","115","0","0","4","1916","1837","2837","0"
"Alnus","106","48","0","0","0","174","163","42","0"
"Alopecurus","8","6","0","0","0","55","44","47","0"
"Alternanthera","29","3","0","0","0","19","11","59","0"
"Amaranthus","281","9","0","0","0","355","328","126","0"
"Ambrosia","16","5","0","0","0","23","9","30","0"
"Ammophila","13","3","2","168","2","8","8","8","0"
"Andropogon","3","68","0","0","0","10","4","18","0"
"Anthriscus","2","2","0","0","0","30","23","67","0"
"Arenaria","91","3","0","18","3","146","136","392","4"
"Armoracia","0","0","0","0","0","4","1","3","0"
"Artemisia","388","61","2","0","0","1191","473","565","1"
"Arundo","1","7","0","0","0","13","7","241","0"
"Atriplex","44","3","0","0","0","153","118","53","0"
"Barbarea","3","2","0","0","0","22","16","8","0"
"Batis","3","1","0","9","2","0","0","0","0"
"Betula","25","35","1","5","1","304","274","128","0"
"Bidens","20","62","0","0","0","288","250","180","0"
"Boehmeria","59","7","0","0","0","113","95","200","0"
"Brachiaria","5","4","0","0","0","11","11","14","0"
"Butomus","6","4","0","0","3","2","2","3","0"
"Cabomba","5","9","0","0","1","9","5","21","0"
"Callitriche","41","0","0","0","1","54","40","228","0"
"Campsis","1","0","0","0","1","25","2","3","0"
"Cannabis","41","16","0","0","7","24","7","95","0"
"Capsella","13","10","0","0","3","52","41","41","11"
"Carex","461","7","0","0","0","3926","3444","1247","0"
"Carpobrotus","0","0","0","0","0","2","2","7","0"
"Chelidonium","4","3","0","0","2","14","6","9","0"
"Chenopodium","50","17","0","0","2","289","244","371","4"
"Cirsium","107","16","0","0","0","310","253","303","0"
"Clintonia","1","2","0","0","1","0","0","0","0"
"Commelina","2","1","0","0","0","7","3","32","0"
"Conium","3","0","0","0","0","150","148","0","0"
"Crataegus","10","8","0","0","0","1138","75","106","0"
"Cynosurus","5","2","0","0","0","11","11","14","0"
"Delairea","2","0","0","0","0","2","1","1","0"
"Dioscorea","91","49","0","0","1","57","47","620","0"
"Dryopteris","3","9","0","0","1","4","3","594","0"
"Echinochloa","27","23","1","0","0","156","159","243","0"
"Ellisia","1","0","0","0","0","1","0","0","0"
"Epilobium","128","2","0","0","0","99","25","145","0"
"Festuca","300","13","0","0","0","219","158","1253","0"
"Frangula","34","0","0","2","1","4","0","45","0"
"Gleditsia","61","7","0","0","1","13","0","15","0"
"Glyceria","76","4","0","0","0","52","46","14","0"
"Gnaphalium","3","0","0","0","0","25","17","15","0"
"Gypsophila","33","4","0","0","2","40","19","28","0"
"Halymenia","2","7","0","124","0","1","1","0","0"
"Hedera","9","2","0","0","0","72","67","279","0"
"Helenium","2","0","0","0","0","153","148","7","0"
"Helianthus","196","90","9","0","6","253","221","22","2"
"Hordeum","74","40","48","0","21","720","720","288","1"
"Hydrocharis","2","0","0","0","1","3","2","2","0"
