"","18S"," 16S"," CO1"," COI"," COX1"," ITS2"," ITS1"," trnl"," 12S"
"Lepisosteidae","6","49","0","99","9","0","0","0","36"
"Gobiidae","42","1514","486","8490","791","0","14","0","2391"
"Pleuronectidae","320","417","16","1474","36","313","69","1","213"
"Leuciscidae","22","1195","60","7000","592","1","79","0","664"
"Tincidae","18","13","1","134","26","1","17","0","6"
"Danionidae","13","359","204","2825","410","1","1","7","228"
"Gonyaulacaceae","581","3","16","176","40","589","589","0","0"
"Corbulidae","25","15","49","62","0","47","0","0","0"
"Myidae","21","39","0","118","15","2","8","0","2"
"Portunidae","44","1123","13","3546","246","0","39","0","209"
"Mactridae","91","130","24","514","61","31","110","0","29"
"Varunidae","42","262","70","1316","154","83","89","0","104"
"Synbranchidae","9","158","92","395","26","0","0","0","21"
"Centrarchidae","36","349","1","869","51","13","0","0","109"
"Rhodomelaceae","293","1","0","1978","416","10","17","79","0"
"Chordariaceae","42","13","0","718","104","167","179","0","0"
"Carangidae","32","322","50","3935","455","352","206","0","428"
"Dichotomosiphonaceae","0","2","0","0","0","0","0","4","0"
"Cladophoraceae","602","0","0","0","0","185","173","0","0"
"Siphonocladaceae","58","2","0","0","0","243","226","0","0"
"Fucaceae","158","15","1","181","26","151","158","3","0"
"Gracilariaceae","410","22","2","1048","709","424","306","36","0"
"Halymeniaceae","53","23","0","450","13","68","79","7","0"
"Hypneaceae","7","1","0","509","350","0","10","1","0"
"Solieriaceae","57","2","0","258","197","55","55","0","0"
"Ulvaceae","382","48","0","0","34","695","475","5","0"
"Ceramiaceae","35","29","0","869","67","12","11","14","0"
"Gymnodiniaceae","330","33","5","34","33","151","142","2","0"
"Bryopsidaceae","3","14","0","0","1","1","1","9","0"
